"","person","item","poly","dich","description","anger","male","do","other","scold","shout"
"38",2,14,0,0,"want bus scold",11,1,1,1,1,0
"39",2,15,0,0,"want bus shout",11,1,1,1,0,1
"40",2,16,0,0,"want train curse",11,1,1,1,0,0
"41",2,17,0,0,"want train scold",11,1,1,1,1,0
"42",2,18,0,0,"want train shout",11,1,1,1,0,1
"43",2,19,1,1,"want store curse",11,1,1,0,0,0
"44",2,20,0,0,"want store scold",11,1,1,0,1,0
"45",2,21,0,0,"want store shout",11,1,1,0,0,1
"46",2,22,0,0,"want operator curse",11,1,1,0,0,0
"47",2,23,0,0,"want operator scold",11,1,1,0,1,0
"48",2,24,0,0,"want operator shout",11,1,1,0,0,1
"49",3,1,1,1,"do bus curse",17,0,0,1,0,0
"50",3,2,1,1,"do bus scold",17,0,0,1,1,0
"51",3,3,1,1,"do bus shout",17,0,0,1,0,1
"52",3,4,1,1,"do train curse",17,0,0,1,0,0
"53",3,5,0,0,"do train scold",17,0,0,1,1,0
"54",3,6,1,1,"do train shout",17,0,0,1,0,1
"55",3,7,1,1,"do store curse",17,0,0,0,0,0
"56",3,8,0,0,"do store scold",17,0,0,0,1,0
"57",3,9,0,0,"do store shout",17,0,0,0,0,1
"58",3,10,0,0,"do operator curse",17,0,0,0,0,0
"59",3,11,0,0,"do operator scold",17,0,0,0,1,0
"60",3,12,0,0,"do operator shout",17,0,0,0,0,1
"61",3,13,0,0,"want bus curse",17,0,1,1,0,0
"62",3,14,1,1,"want bus scold",17,0,1,1,1,0
"63",3,15,1,1,"want bus shout",17,0,1,1,0,1
"64",3,16,0,0,"want train curse",17,0,1,1,0,0
"65",3,17,0,0,"want train scold",17,0,1,1,1,0
"66",3,18,1,1,"want train shout",17,0,1,1,0,1
"67",3,19,0,0,"want store curse",17,0,1,0,0,0
"68",3,20,0,0,"want store scold",17,0,1,0,1,0
"69",3,21,0,0,"want store shout",17,0,1,0,0,1
"70",3,22,1,1,"want operator curse",17,0,1,0,0,0
"71",3,23,0,0,"want operator scold",17,0,1,0,1,0
"72",3,24,0,0,"want operator shout",17,0,1,0,0,1
"73",4,1,1,1,"do bus curse",21,0,0,1,0,0
"74",4,2,1,1,"do bus scold",21,0,0,1,1,0
"75",4,3,1,1,"do bus shout",21,0,0,1,0,1
"76",4,4,1,1,"do train curse",21,0,0,1,0,0
"77",4,5,1,1,"do train scold",21,0,0,1,1,0
"78",4,6,1,1,"do train shout",21,0,0,1,0,1
"79",4,7,1,1,"do store curse",21,0,0,0,0,0
"80",4,8,0,0,"do store scold",21,0,0,0,1,0
"81",4,9,0,0,"do store shout",21,0,0,0,0,1
"82",4,10,0,0,"do operator curse",21,0,0,0,0,0
"83",4,11,0,0,"do operator scold",21,0,0,0,1,0
"84",4,12,0,0,"do operator shout",21,0,0,0,0,1
"85",4,13,1,1,"want bus curse",21,0,1,1,0,0
"86",4,14,1,1,"want bus scold",21,0,1,1,1,0
"87",4,15,1,1,"want bus shout",21,0,1,1,0,1
"88",4,16,2,1,"want train curse",21,0,1,1,0,0
"89",4,17,1,1,"want train scold",21,0,1,1,1,0
"90",4,18,1,1,"want train shout",21,0,1,1,0,1
"91",4,19,1,1,"want store curse",21,0,1,0,0,0
"92",4,20,0,0,"want store scold",21,0,1,0,1,0
"93",4,21,0,0,"want store shout",21,0,1,0,0,1
"94",4,22,0,0,"want operator curse",21,0,1,0,0,0
"95",4,23,0,0,"want operator scold",21,0,1,0,1,0
"96",4,24,0,0,"want operator shout",21,0,1,0,0,1
"97",5,1,1,1,"do bus curse",17,0,0,1,0,0
"98",5,2,0,0,"do bus scold",17,0,0,1,1,0
"99",5,3,1,1,"do bus shout",17,0,0,1,0,1
"100",5,4,1,1,"do train curse",17,0,0,1,0,0
"101",5,5,0,0,"do train scold",17,0,0,1,1,0
"102",5,6,0,0,"do train shout",17,0,0,1,0,1
"103",5,7,1,1,"do store curse",17,0,0,0,0,0
"104",5,8,0,0,"do store scold",17,0,0,0,1,0
"105",5,9,0,0,"do store shout",17,0,0,0,0,1
"106",5,10,1,1,"do operator curse",17,0,0,0,0,0
"107",5,11,0,0,"do operator scold",17,0,0,0,1,0
"108",5,12,0,0,"do operator shout",17,0,0,0,0,1
"109",5,13,1,1,"want bus curse",17,0,1,1,0,0
"110",5,14,1,1,"want bus scold",17,0,1,1,1,0
"111",5,15,0,0,"want bus shout",17,0,1,1,0,1
"112",5,16,1,1,"want train curse",17,0,1,1,0,0
"113",5,17,0,0,"want train scold",17,0,1,1,1,0
"114",5,18,0,0,"want train shout",17,0,1,1,0,1
"115",5,19,1,1,"want store curse",17,0,1,0,0,0
"116",5,20,0,0,"want store scold",17,0,1,0,1,0
"117",5,21,0,0,"want store shout",17,0,1,0,0,1
"118",5,22,1,1,"want operator curse",17,0,1,0,0,0
"119",5,23,0,0,"want operator scold",17,0,1,0,1,0
"120",5,24,0,0,"want operator shout",17,0,1,0,0,1
"121",6,1,2,1,"do bus curse",21,0,0,1,0,0
"122",6,2,2,1,"do bus scold",21,0,0,1,1,0
"123",6,3,0,0,"do bus shout",21,0,0,1,0,1
"124",6,4,2,1,"do train curse",21,0,0,1,0,0
"125",6,5,0,0,"do train scold",21,0,0,1,1,0
"126",6,6,0,0,"do train shout",21,0,0,1,0,1
"127",6,7,1,1,"do store curse",21,0,0,0,0,0
"128",6,8,1,1,"do store scold",21,0,0,0,1,0
"129",6,9,1,1,"do store shout",21,0,0,0,0,1
"130",6,10,0,0,"do operator curse",21,0,0,0,0,0
"131",6,11,0,0,"do operator scold",21,0,0,0,1,0
"132",6,12,0,0,"do operator shout",21,0,0,0,0,1
"133",6,13,2,1,"want bus curse",21,0,1,1,0,0
"134",6,14,0,0,"want bus scold",21,0,1,1,1,0
"135",6,15,0,0,"want bus shout",21,0,1,1,0,1
"136",6,16,2,1,"want train curse",21,0,1,1,0,0
"137",6,17,0,0,"want train scold",21,0,1,1,1,0
"138",6,18,0,0,"want train shout",21,0,1,1,0,1
"139",6,19,2,1,"want store curse",21,0,1,0,0,0
"140",6,20,0,0,"want store scold",21,0,1,0,1,0
"141",6,21,0,0,"want store shout",21,0,1,0,0,1
"142",6,22,2,1,"want operator curse",21,0,1,0,0,0
"143",6,23,2,1,"want operator scold",21,0,1,0,1,0
"144",6,24,0,0,"want operator shout",21,0,1,0,0,1
"145",7,1,2,1,"do bus curse",39,0,0,1,0,0
"146",7,2,2,1,"do bus scold",39,0,0,1,1,0
"147",7,3,2,1,"do bus shout",39,0,0,1,0,1
"148",7,4,1,1,"do train curse",39,0,0,1,0,0
"149",7,5,1,1,"do train scold",39,0,0,1,1,0
"150",7,6,2,1,"do train shout",39,0,0,1,0,1
"151",7,7,1,1,"do store curse",39,0,0,0,0,0
"152",7,8,0,0,"do store scold",39,0,0,0,1,0
"153",7,9,1,1,"do store shout",39,0,0,0,0,1
"154",7,10,0,0,"do operator curse",39,0,0,0,0,0
"155",7,11,0,0,"do operator scold",39,0,0,0,1,0
"156",7,12,0,0,"do operator shout",39,0,0,0,0,1
"157",7,13,2,1,"want bus curse",39,0,1,1,0,0
"158",7,14,2,1,"want bus scold",39,0,1,1,1,0
"159",7,15,2,1,"want bus shout",39,0,1,1,0,1
"160",7,16,1,1,"want train curse",39,0,1,1,0,0
"161",7,17,1,1,"want train scold",39,0,1,1,1,0
"162",7,18,2,1,"want train shout",39,0,1,1,0,1
"163",7,19,0,0,"want store curse",39,0,1,0,0,0
"164",7,20,0,0,"want store scold",39,0,1,0,1,0
"165",7,21,0,0,"want store shout",39,0,1,0,0,1
"166",7,22,0,0,"want operator curse",39,0,1,0,0,0
"167",7,23,0,0,"want operator scold",39,0,1,0,1,0
"168",7,24,0,0,"want operator shout",39,0,1,0,0,1
"169",8,1,0,0,"do bus curse",21,0,0,1,0,0
"170",8,2,0,0,"do bus scold",21,0,0,1,1,0
"171",8,3,0,0,"do bus shout",21,0,0,1,0,1
"172",8,4,0,0,"do train curse",21,0,0,1,0,0
"173",8,5,0,0,"do train scold",21,0,0,1,1,0
"174",8,6,0,0,"do train shout",21,0,0,1,0,1
"175",8,7,0,0,"do store curse",21,0,0,0,0,0
"176",8,8,0,0,"do store scold",21,0,0,0,1,0
"177",8,9,0,0,"do store shout",21,0,0,0,0,1
"178",8,10,0,0,"do operator curse",21,0,0,0,0,0
"179",8,11,0,0,"do operator scold",21,0,0,0,1,0
"180",8,12,0,0,"do operator shout",21,0,0,0,0,1
"181",8,13,2,1,"want bus curse",21,0,1,1,0,0
"182",8,14,0,0,"want bus scold",21,0,1,1,1,0
"183",8,15,0,0,"want bus shout",21,0,1,1,0,1
"184",8,16,2,1,"want train curse",21,0,1,1,0,0
"185",8,17,0,0,"want train scold",21,0,1,1,1,0
"186",8,18,0,0,"want train shout",21,0,1,1,0,1
"187",8,19,2,1,"want store curse",21,0,1,0,0,0
"188",8,20,0,0,"want store scold",21,0,1,0,1,0
"189",8,21,0,0,"want store shout",21,0,1,0,0,1
"190",8,22,2,1,"want operator curse",21,0,1,0,0,0
"191",8,23,0,0,"want operator scold",21,0,1,0,1,0
"192",8,24,0,0,"want operator shout",21,0,1,0,0,1
"193",9,1,0,0,"do bus curse",24,0,0,1,0,0
"194",9,2,0,0,"do bus scold",24,0,0,1,1,0
"195",9,3,0,0,"do bus shout",24,0,0,1,0,1
"196",9,4,1,1,"do train curse",24,0,0,1,0,0
"197",9,5,1,1,"do train scold",24,0,0,1,1,0
"198",9,6,0,0,"do train shout",24,0,0,1,0,1
"199",9,7,1,1,"do store curse",24,0,0,0,0,0
"200",9,8,0,0,"do store scold",24,0,0,0,1,0
"201",9,9,1,1,"do store shout",24,0,0,0,0,1
"202",9,10,1,1,"do operator curse",24,0,0,0,0,0
"203",9,11,0,0,"do operator scold",24,0,0,0,1,0
"204",9,12,0,0,"do operator shout",24,0,0,0,0,1
"205",9,13,2,1,"want bus curse",24,0,1,1,0,0
"206",9,14,0,0,"want bus scold",24,0,1,1,1,0
"207",9,15,0,0,"want bus shout",24,0,1,1,0,1
"208",9,16,2,1,"want train curse",24,0,1,1,0,0
"209",9,17,0,0,"want train scold",24,0,1,1,1,0
"210",9,18,0,0,"want train shout",24,0,1,1,0,1
"211",9,19,1,1,"want store curse",24,0,1,0,0,0
"212",9,20,0,0,"want store scold",24,0,1,0,1,0
"213",9,21,1,1,"want store shout",24,0,1,0,0,1
"214",9,22,0,0,"want operator curse",24,0,1,0,0,0
"215",9,23,1,1,"want operator scold",24,0,1,0,1,0
"216",9,24,0,0,"want operator shout",24,0,1,0,0,1
"217",10,1,2,1,"do bus curse",16,0,0,1,0,0
"218",10,2,2,1,"do bus scold",16,0,0,1,1,0
"219",10,3,2,1,"do bus shout",16,0,0,1,0,1
"220",10,4,2,1,"do train curse",16,0,0,1,0,0
"221",10,5,2,1,"do train scold",16,0,0,1,1,0
"222",10,6,1,1,"do train shout",16,0,0,1,0,1
"223",10,7,1,1,"do store curse",16,0,0,0,0,0
"224",10,8,0,0,"do store scold",16,0,0,0,1,0
"225",10,9,1,1,"do store shout",16,0,0,0,0,1
"226",10,10,1,1,"do operator curse",16,0,0,0,0,0
"227",10,11,1,1,"do operator scold",16,0,0,0,1,0
"228",10,12,1,1,"do operator shout",16,0,0,0,0,1
"229",10,13,1,1,"want bus curse",16,0,1,1,0,0
"230",10,14,2,1,"want bus scold",16,0,1,1,1,0
"231",10,15,1,1,"want bus shout",16,0,1,1,0,1
"232",10,16,2,1,"want train curse",16,0,1,1,0,0
"233",10,17,2,1,"want train scold",16,0,1,1,1,0
"234",10,18,1,1,"want train shout",16,0,1,1,0,1
"235",10,19,0,0,"want store curse",16,0,1,0,0,0
"236",10,20,0,0,"want store scold",16,0,1,0,1,0
"237",10,21,0,0,"want store shout",16,0,1,0,0,1
"238",10,22,1,1,"want operator curse",16,0,1,0,0,0
"239",10,23,1,1,"want operator scold",16,0,1,0,1,0
"240",10,24,1,1,"want operator shout",16,0,1,0,0,1
"241",11,1,1,1,"do bus curse",15,0,0,1,0,0
"242",11,2,2,1,"do bus scold",15,0,0,1,1,0
"243",11,3,2,1,"do bus shout",15,0,0,1,0,1
"244",11,4,1,1,"do train curse",15,0,0,1,0,0
"245",11,5,2,1,"do train scold",15,0,0,1,1,0
"246",11,6,2,1,"do train shout",15,0,0,1,0,1
"247",11,7,1,1,"do store curse",15,0,0,0,0,0
"248",11,8,1,1,"do store scold",15,0,0,0,1,0
"249",11,9,1,1,"do store shout",15,0,0,0,0,1
"250",11,10,0,0,"do operator curse",15,0,0,0,0,0
"251",11,11,0,0,"do operator scold",15,0,0,0,1,0
"252",11,12,0,0,"do operator shout",15,0,0,0,0,1
"253",11,13,1,1,"want bus curse",15,0,1,1,0,0
"254",11,14,1,1,"want bus scold",15,0,1,1,1,0
"255",11,15,1,1,"want bus shout",15,0,1,1,0,1
"256",11,16,1,1,"want train curse",15,0,1,1,0,0
"257",11,17,1,1,"want train scold",15,0,1,1,1,0
"258",11,18,1,1,"want train shout",15,0,1,1,0,1
"259",11,19,0,0,"want store curse",15,0,1,0,0,0
"260",11,20,0,0,"want store scold",15,0,1,0,1,0
"261",11,21,0,0,"want store shout",15,0,1,0,0,1
"262",11,22,0,0,"want operator curse",15,0,1,0,0,0
"263",11,23,0,0,"want operator scold",15,0,1,0,1,0
"264",11,24,0,0,"want operator shout",15,0,1,0,0,1
"265",12,1,2,1,"do bus curse",18,0,0,1,0,0
"266",12,2,2,1,"do bus scold",18,0,0,1,1,0
"267",12,3,2,1,"do bus shout",18,0,0,1,0,1
"268",12,4,2,1,"do train curse",18,0,0,1,0,0
"269",12,5,2,1,"do train scold",18,0,0,1,1,0
"270",12,6,2,1,"do train shout",18,0,0,1,0,1
"271",12,7,2,1,"do store curse",18,0,0,0,0,0
"272",12,8,0,0,"do store scold",18,0,0,0,1,0
"273",12,9,1,1,"do store shout",18,0,0,0,0,1
"274",12,10,0,0,"do operator curse",18,0,0,0,0,0
"275",12,11,2,1,"do operator scold",18,0,0,0,1,0
"276",12,12,1,1,"do operator shout",18,0,0,0,0,1
"277",12,13,2,1,"want bus curse",18,0,1,1,0,0
"278",12,14,2,1,"want bus scold",18,0,1,1,1,0
"279",12,15,0,0,"want bus shout",18,0,1,1,0,1
"280",12,16,2,1,"want train curse",18,0,1,1,0,0
"281",12,17,2,1,"want train scold",18,0,1,1,1,0
"282",12,18,0,0,"want train shout",18,0,1,1,0,1
"283",12,19,0,0,"want store curse",18,0,1,0,0,0
"284",12,20,2,1,"want store scold",18,0,1,0,1,0
"285",12,21,0,0,"want store shout",18,0,1,0,0,1
"286",12,22,2,1,"want operator curse",18,0,1,0,0,0
"287",12,23,2,1,"want operator scold",18,0,1,0,1,0
"288",12,24,0,0,"want operator shout",18,0,1,0,0,1
"289",13,1,2,1,"do bus curse",36,1,0,1,0,0
"290",13,2,0,0,"do bus scold",36,1,0,1,1,0
"291",13,3,1,1,"do bus shout",36,1,0,1,0,1
"292",13,4,2,1,"do train curse",36,1,0,1,0,0
"293",13,5,0,0,"do train scold",36,1,0,1,1,0
"294",13,6,0,0,"do train shout",36,1,0,1,0,1
"295",13,7,1,1,"do store curse",36,1,0,0,0,0
"296",13,8,0,0,"do store scold",36,1,0,0,1,0
"297",13,9,0,0,"do store shout",36,1,0,0,0,1
"298",13,10,1,1,"do operator curse",36,1,0,0,0,0
"299",13,11,0,0,"do operator scold",36,1,0,0,1,0
"300",13,12,0,0,"do operator shout",36,1,0,0,0,1
"301",13,13,1,1,"want bus curse",36,1,1,1,0,0
"302",13,14,2,1,"want bus scold",36,1,1,1,1,0
"303",13,15,0,0,"want bus shout",36,1,1,1,0,1
"304",13,16,1,1,"want train curse",36,1,1,1,0,0
"305",13,17,2,1,"want train scold",36,1,1,1,1,0
"306",13,18,0,0,"want train shout",36,1,1,1,0,1
"307",13,19,0,0,"want store curse",36,1,1,0,0,0
"308",13,20,0,0,"want store scold",36,1,1,0,1,0
"309",13,21,0,0,"want store shout",36,1,1,0,0,1
"310",13,22,1,1,"want operator curse",36,1,1,0,0,0
"311",13,23,0,0,"want operator scold",36,1,1,0,1,0
"312",13,24,0,0,"want operator shout",36,1,1,0,0,1
"313",14,1,2,1,"do bus curse",22,1,0,1,0,0
"314",14,2,2,1,"do bus scold",22,1,0,1,1,0
"315",14,3,2,1,"do bus shout",22,1,0,1,0,1
"316",14,4,2,1,"do train curse",22,1,0,1,0,0
"317",14,5,2,1,"do train scold",22,1,0,1,1,0
"318",14,6,2,1,"do train shout",22,1,0,1,0,1
"319",14,7,1,1,"do store curse",22,1,0,0,0,0
"320",14,8,2,1,"do store scold",22,1,0,0,1,0
"321",14,9,1,1,"do store shout",22,1,0,0,0,1
"322",14,10,1,1,"do operator curse",22,1,0,0,0,0
"323",14,11,0,0,"do operator scold",22,1,0,0,1,0
"324",14,12,0,0,"do operator shout",22,1,0,0,0,1
"325",14,13,2,1,"want bus curse",22,1,1,1,0,0
"326",14,14,2,1,"want bus scold",22,1,1,1,1,0
"327",14,15,1,1,"want bus shout",22,1,1,1,0,1
"328",14,16,2,1,"want train curse",22,1,1,1,0,0
"329",14,17,2,1,"want train scold",22,1,1,1,1,0
"330",14,18,1,1,"want train shout",22,1,1,1,0,1
"331",14,19,1,1,"want store curse",22,1,1,0,0,0
"332",14,20,1,1,"want store scold",22,1,1,0,1,0
"333",14,21,0,0,"want store shout",22,1,1,0,0,1
"334",14,22,0,0,"want operator curse",22,1,1,0,0,0
"335",14,23,2,1,"want operator scold",22,1,1,0,1,0
"336",14,24,0,0,"want operator shout",22,1,1,0,0,1
"337",15,1,1,1,"do bus curse",16,0,0,1,0,0
"338",15,2,0,0,"do bus scold",16,0,0,1,1,0
"339",15,3,0,0,"do bus shout",16,0,0,1,0,1
"340",15,4,1,1,"do train curse",16,0,0,1,0,0
"341",15,5,0,0,"do train scold",16,0,0,1,1,0
"342",15,6,1,1,"do train shout",16,0,0,1,0,1
"343",15,7,0,0,"do store curse",16,0,0,0,0,0
"344",15,8,1,1,"do store scold",16,0,0,0,1,0
"345",15,9,1,1,"do store shout",16,0,0,0,0,1
"346",15,10,1,1,"do operator curse",16,0,0,0,0,0
"347",15,11,0,0,"do operator scold",16,0,0,0,1,0
"348",15,12,0,0,"do operator shout",16,0,0,0,0,1
"349",15,13,1,1,"want bus curse",16,0,1,1,0,0
"350",15,14,1,1,"want bus scold",16,0,1,1,1,0
"351",15,15,0,0,"want bus shout",16,0,1,1,0,1
"352",15,16,1,1,"want train curse",16,0,1,1,0,0
"353",15,17,1,1,"want train scold",16,0,1,1,1,0
"354",15,18,0,0,"want train shout",16,0,1,1,0,1
"355",15,19,1,1,"want store curse",16,0,1,0,0,0
"356",15,20,0,0,"want store scold",16,0,1,0,1,0
"357",15,21,0,0,"want store shout",16,0,1,0,0,1
"358",15,22,1,1,"want operator curse",16,0,1,0,0,0
"359",15,23,1,1,"want operator scold",16,0,1,0,1,0
"360",15,24,0,0,"want operator shout",16,0,1,0,0,1
"361",16,1,1,1,"do bus curse",18,0,0,1,0,0
"362",16,2,0,0,"do bus scold",18,0,0,1,1,0
"363",16,3,1,1,"do bus shout",18,0,0,1,0,1
"364",16,4,1,1,"do train curse",18,0,0,1,0,0
"365",16,5,0,0,"do train scold",18,0,0,1,1,0
"366",16,6,1,1,"do train shout",18,0,0,1,0,1
"367",16,7,1,1,"do store curse",18,0,0,0,0,0
"368",16,8,0,0,"do store scold",18,0,0,0,1,0
"369",16,9,0,0,"do store shout",18,0,0,0,0,1
"370",16,10,1,1,"do operator curse",18,0,0,0,0,0
"371",16,11,0,0,"do operator scold",18,0,0,0,1,0
"372",16,12,0,0,"do operator shout",18,0,0,0,0,1
"373",16,13,1,1,"want bus curse",18,0,1,1,0,0
"374",16,14,1,1,"want bus scold",18,0,1,1,1,0
"375",16,15,2,1,"want bus shout",18,0,1,1,0,1
"376",16,16,0,0,"want train curse",18,0,1,1,0,0
"377",16,17,0,0,"want train scold",18,0,1,1,1,0
"378",16,18,0,0,"want train shout",18,0,1,1,0,1
"379",16,19,1,1,"want store curse",18,0,1,0,0,0
"380",16,20,0,0,"want store scold",18,0,1,0,1,0
"381",16,21,0,0,"want store shout",18,0,1,0,0,1
"382",16,22,1,1,"want operator curse",18,0,1,0,0,0
"383",16,23,1,1,"want operator scold",18,0,1,0,1,0
"384",16,24,0,0,"want operator shout",18,0,1,0,0,1
"385",17,1,1,1,"do bus curse",23,0,0,1,0,0
"386",17,2,0,0,"do bus scold",23,0,0,1,1,0
"387",17,3,0,0,"do bus shout",23,0,0,1,0,1
"388",17,4,1,1,"do train curse",23,0,0,1,0,0
"389",17,5,0,0,"do train scold",23,0,0,1,1,0
"390",17,6,1,1,"do train shout",23,0,0,1,0,1
"391",17,7,0,0,"do store curse",23,0,0,0,0,0
"392",17,8,0,0,"do store scold",23,0,0,0,1,0
"393",17,9,0,0,"do store shout",23,0,0,0,0,1
"394",17,10,1,1,"do operator curse",23,0,0,0,0,0
"395",17,11,0,0,"do operator scold",23,0,0,0,1,0
"396",17,12,0,0,"do operator shout",23,0,0,0,0,1
"397",17,13,1,1,"want bus curse",23,0,1,1,0,0
"398",17,14,1,1,"want bus scold",23,0,1,1,1,0
"399",17,15,1,1,"want bus shout",23,0,1,1,0,1
"400",17,16,1,1,"want train curse",23,0,1,1,0,0
"401",17,17,1,1,"want train scold",23,0,1,1,1,0
"402",17,18,0,0,"want train shout",23,0,1,1,0,1
"403",17,19,1,1,"want store curse",23,0,1,0,0,0
"404",17,20,1,1,"want store scold",23,0,1,0,1,0
"405",17,21,1,1,"want store shout",23,0,1,0,0,1
"406",17,22,1,1,"want operator curse",23,0,1,0,0,0
"407",17,23,2,1,"want operator scold",23,0,1,0,1,0
"408",17,24,1,1,"want operator shout",23,0,1,0,0,1
"409",18,1,1,1,"do bus curse",16,0,0,1,0,0
"410",18,2,0,0,"do bus scold",16,0,0,1,1,0
"411",18,3,2,1,"do bus shout",16,0,0,1,0,1
"412",18,4,1,1,"do train curse",16,0,0,1,0,0
"413",18,5,0,0,"do train scold",16,0,0,1,1,0
"414",18,6,1,1,"do train shout",16,0,0,1,0,1
"415",18,7,1,1,"do store curse",16,0,0,0,0,0
"416",18,8,0,0,"do store scold",16,0,0,0,1,0
"417",18,9,1,1,"do store shout",16,0,0,0,0,1
"418",18,10,0,0,"do operator curse",16,0,0,0,0,0
"419",18,11,0,0,"do operator scold",16,0,0,0,1,0
"420",18,12,0,0,"do operator shout",16,0,0,0,0,1
"421",18,13,1,1,"want bus curse",16,0,1,1,0,0
"422",18,14,0,0,"want bus scold",16,0,1,1,1,0
"423",18,15,1,1,"want bus shout",16,0,1,1,0,1
"424",18,16,1,1,"want train curse",16,0,1,1,0,0
"425",18,17,0,0,"want train scold",16,0,1,1,1,0
"426",18,18,0,0,"want train shout",16,0,1,1,0,1
"427",18,19,0,0,"want store curse",16,0,1,0,0,0
"428",18,20,0,0,"want store scold",16,0,1,0,1,0
"429",18,21,0,0,"want store shout",16,0,1,0,0,1
"430",18,22,0,0,"want operator curse",16,0,1,0,0,0
"431",18,23,0,0,"want operator scold",16,0,1,0,1,0
"432",18,24,0,0,"want operator shout",16,0,1,0,0,1
"433",19,1,0,0,"do bus curse",21,0,0,1,0,0
"434",19,2,0,0,"do bus scold",21,0,0,1,1,0
"435",19,3,0,0,"do bus shout",21,0,0,1,0,1
"436",19,4,0,0,"do train curse",21,0,0,1,0,0
"437",19,5,0,0,"do train scold",21,0,0,1,1,0
"438",19,6,0,0,"do train shout",21,0,0,1,0,1
"439",19,7,0,0,"do store curse",21,0,0,0,0,0
"440",19,8,0,0,"do store scold",21,0,0,0,1,0
"441",19,9,0,0,"do store shout",21,0,0,0,0,1
"442",19,10,0,0,"do operator curse",21,0,0,0,0,0
"443",19,11,0,0,"do operator scold",21,0,0,0,1,0
"444",19,12,0,0,"do operator shout",21,0,0,0,0,1
"445",19,13,0,0,"want bus curse",21,0,1,1,0,0
"446",19,14,0,0,"want bus scold",21,0,1,1,1,0
"447",19,15,0,0,"want bus shout",21,0,1,1,0,1
"448",19,16,0,0,"want train curse",21,0,1,1,0,0
"449",19,17,0,0,"want train scold",21,0,1,1,1,0
"450",19,18,0,0,"want train shout",21,0,1,1,0,1
"451",19,19,0,0,"want store curse",21,0,1,0,0,0
"452",19,20,0,0,"want store scold",21,0,1,0,1,0
"453",19,21,0,0,"want store shout",21,0,1,0,0,1
"454",19,22,0,0,"want operator curse",21,0,1,0,0,0
"455",19,23,0,0,"want operator scold",21,0,1,0,1,0
"456",19,24,0,0,"want operator shout",21,0,1,0,0,1
"457",20,1,1,1,"do bus curse",25,0,0,1,0,0
"458",20,2,1,1,"do bus scold",25,0,0,1,1,0
"459",20,3,1,1,"do bus shout",25,0,0,1,0,1
"460",20,4,2,1,"do train curse",25,0,0,1,0,0
"461",20,5,1,1,"do train scold",25,0,0,1,1,0
"462",20,6,1,1,"do train shout",25,0,0,1,0,1
"463",20,7,1,1,"do store curse",25,0,0,0,0,0
"464",20,8,0,0,"do store scold",25,0,0,0,1,0
"465",20,9,0,0,"do store shout",25,0,0,0,0,1
"466",20,10,1,1,"do operator curse",25,0,0,0,0,0
"467",20,11,0,0,"do operator scold",25,0,0,0,1,0
"468",20,12,0,0,"do operator shout",25,0,0,0,0,1
"469",20,13,1,1,"want bus curse",25,0,1,1,0,0
"470",20,14,0,0,"want bus scold",25,0,1,1,1,0
"471",20,15,1,1,"want bus shout",25,0,1,1,0,1
"472",20,16,1,1,"want train curse",25,0,1,1,0,0
